station_name,trains,mta_api_station
1 Av,L,1 Av
103 St,1-A-B-C-4-6-6X,103 St
103 St-Corona Plaza,7,103 St-Corona Plaza
104 St,A-S-J-Z,104 St
104-102 Sts,J-Z,^^^
110 St,4-6-6X,110 St
111 St,J-A-S-7,111 St
116 St,2-3-4-6-6X-A-B-C,116 St
116 St-Columbia University,1,116 St-Columbia University
121 St,J-Z,121 St
125 St,1-2-3-A-B-C-D-4-5-6-6X,125 St
135 St,A-B-C-2-3,135 St
137 St-City College,1,137 St-City College
138 St-Grand Concourse,4-5,138 St-Grand Concourse
14 St,A-C-E-F-M-1-2-3,14 St
145 St,A-B-C-D-1-3,145 St
149 St-Grand Concourse,4-2-5,149 St-Grand Concourse
15 St-Prospect Park,F-G,15 St-Prospect Park
155 St,B-D-A-C,155 St
157 St,1,157 St
161 St-Yankee Stadium,B-D-4,161 St-Yankee Stadium
163 St-Amsterdam Av,A-C,163 St-Amsterdam Av
167 St,B-D-4,167 St
168 St,1-A-C,168 St
169 St,F,169 St
170 St,B-D-4,170 St
174 St,2-5,174 St
174-175 Sts,B-D,174-175 Sts
175 St,A,175 St
176 St,4,176 St
18 Av,F-N-D,18 Av
18 St,1-2,18 St
181 St,A-1,181 St
182-183 Sts,B-D,182-183 Sts
183 St,4,183 St
190 St,A,190 St
191 St,1,191 St
20 Av,D-N,20 Av
207 St,1,207 St
21 St,G,21 St
21 St-Queensbridge,F,21 St-Queensbridge
215 St,1,215 St
219 St,2-5,219 St
225 St,2-5,225 St
23 St,F-M-1-2-4-6-6X-N-Q-R-W-A-C-E,23 St
231 St,1,231 St
233 St,2-5,233 St
238 St,1,238 St
25 Av,D,25 Av
25 St,D-N-R,25 St
28 St,N-Q-R-W-4-6-6X-1-2,28 St
3 Av,L,3 Av
3 Av-138 St,6-6X,3 Av-138 St
3 Av-149 St,2-5,3 Av-149 St
30 Av,N-W,30 Av
33 St,7-4-6-6X,33 St
34 St-Hudson Yards,7-7X,34 St-Hudson Yards
34 St-Penn Station,A-C-E-1-2-3,34 St-Penn Station
36 Av,N-W,36 Av
36 St,D-N-R-E-M-R,36 St
39 Av,N-W,39 Av-Dutch Kills
4 Av-9 St,D-N-R-F-G,4 Av-9 St
40 St,7,40 St-Lowery St
42 St-Bryant Pk,B-D-F-M,42 St-Bryant Pk
42 St-Port Authority Bus Term,A-C-E,42 St-Port Authority Bus Terminal
45 St,N-R,45 St
46 St,7-E-M-R,46 St
47-50 Sts-Rockefeller Ctr,B-D-F-M,47-50 Sts-Rockefeller Ctr
49 St,N-Q-R-W,49 St
5 Av-53 St,E-M,5 Av/53 St
5 Av-59 St,N-R-W,5 Av/59 St
5 Av-Bryant Pk,7-7X,5 Av
50 St,D-1-2-A-C-E,50 St
51 St,4-6-6X,51 St
52 St,7,52 St
53 St,N-R,53 St
55 St,D,55 St
57 St,N-Q-R-W-F,57 St
59 St,N-R,59 St
59 St-Columbus Circle,1-2-A-B-C-D,59 St-Columbus Circle
6 Av,L,6 Av
62 St,D,62 St
63 Dr-Rego Park,E-M-R,63 Dr-Rego Park
65 St,E-M-R,65 St
66 St-Lincoln Ctr,1-2,66 St-Lincoln Center
67 Av,E-M-R,67 Av
68 St-Hunter College,4-6-6X,68 St-Hunter College
69 St,7,69 St
7 Av,B-D-E-F-G-B-Q,7 Av
71 St,D,71 St
72 St,Q-1-2-3-A-B-C,72 St
74 St-Broadway,7,74 St-Broadway
75 Av,E-F,75 Av
75 St-Eldert Ln,J-Z,75 St-Elderts Ln
77 St,R-4-6-6X,77 St
79 St,1-2-D,79 St
8 Av,L-N,8 Av
8 St-NYU,N-Q-R-W,8 St-NYU
80 St,A-S,80 St
81 St,A-B-C,81 St-Museum of Natural History
82 St-Jackson Hts,7,82 St-Jackson Hts
85 St-Forest Pky,J,85 St-Forest Pkwy
86 St,4-5-6-6X-A-B-C-R-1-2-Q-N,Gravesend-86 St
88 St,A-S,88 St
9 Av,D,9 Av
90 St-Elmhurst Av,7,90 St-Elmhurst Av
96 St,1-2-3-Q-4-6-6X-A-B-C,96 St
Alabama Av,J,Alabama Av
Allerton Av,2-5,Allerton Av
Aqueduct Racetrack,A,Aqueduct Racetrack
Aqueduct-North Conduit Av,A,Aqueduct-N Conduit Av
Astor Pl,4-6-6X,Astor Pl
Astoria Blvd,N-W,Astoria Blvd
Astoria-Ditmars Blvd,N-W,Astoria-Ditmars Blvd
Atlantic Av,L,Atlantic Av
Atlantic Av-Barclay's Center,2-3-4-5-B-Q-D-N-Q-R,Atlantic Av-Barclays Ctr
Avenue H,Q,Avenue H
Avenue I,F,Avenue I
Avenue J,Q,Avenue J
Avenue M,Q,Avenue M
Avenue N,F,Avenue N
Avenue P,F,Avenue P
Avenue U,F-Q-N,Avenue U
Avenue X,F,Avenue X
Bay 50 St,D,Bay 50 St
